X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,url,urlname,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-5.0851,50.165,,,,,WPT001,WPT001,WPT001,,,,,,,,,,,,
-5.083,50.1652,,,,,WPT002,WPT002,WPT002,,,,,,,,,,,,
-5.0807,50.1654,,,,,WPT003,WPT003,WPT003,,,,,,,,,,,,
-5.0785,50.1652,,,,,WPT004,WPT004,WPT004,,,,,,,,,,,,
-5.0763,50.1647,,,,,WPT005,WPT005,WPT005,,,,,,,,,,,,
-5.0744,50.1639,,,,,WPT006,WPT006,WPT006,,,,,,,,,,,,
-5.0727,50.1629,,,,,WPT007,WPT007,WPT007,,,,,,,,,,,,
-5.0714,50.1618,,,,,WPT008,WPT008,WPT008,,,,,,,,,,,,
-5.07,50.1607,,,,,WPT009,WPT009,WPT009,,,,,,,,,,,,
-5.0682,50.1597,,,,,WPT010,WPT010,WPT010,,,,,,,,,,,,
-5.0662,50.159,,,,,WPT011,WPT011,WPT011,,,,,,,,,,,,
-5.0641,50.1586,,,,,WPT012,WPT012,WPT012,,,,,,,,,,,,
-5.0619,50.1584,,,,,WPT013,WPT013,WPT013,,,,,,,,,,,,
-5.0597,50.1581,,,,,WPT014,WPT014,WPT014,,,,,,,,,,,,
-5.0574,50.158,,,,,WPT015,WPT015,WPT015,,,,,,,,,,,,
-5.0548,50.1578,,,,,WPT016,WPT016,WPT016,,,,,,,,,,,,
-5.052,50.1574,,,,,WPT017,WPT017,WPT017,,,,,,,,,,,,
-5.0497,50.1567,,,,,WPT018,WPT018,WPT018,,,,,,,,,,,,
-5.0486,50.1555,,,,,WPT019,WPT019,WPT019,,,,,,,,,,,,
-5.0468,50.1545,,,,,WPT020,WPT020,WPT020,,,,,,,,,,,,
-5.0446,50.1535,,,,,WPT021,WPT021,WPT021,,,,,,,,,,,,
-5.043,50.152,,,,,WPT022,WPT022,WPT022,,,,,,,,,,,,
-5.0419,50.15,,,,,WPT023,WPT023,WPT023,,,,,,,,,,,,
-5.0412,50.148,,,,,WPT024,WPT024,WPT024,,,,,,,,,,,,
-5.0405,50.1459,,,,,WPT025,WPT025,WPT025,,,,,,,,,,,,
-5.0406,50.1438,,,,,WPT026,WPT026,WPT026,,,,,,,,,,,,
-5.0423,50.1421,,,,,WPT027,WPT027,WPT027,,,,,,,,,,,,
-5.0452,50.1413,,,,,WPT028,WPT028,WPT028,,,,,,,,,,,,
-5.0478,50.1403,,,,,WPT029,WPT029,WPT029,,,,,,,,,,,,
-5.0506,50.1394,,,,,WPT030,WPT030,WPT030,,,,,,,,,,,,
-5.0532,50.1386,,,,,WPT031,WPT031,WPT031,,,,,,,,,,,,
-5.0555,50.1377,,,,,WPT032,WPT032,WPT032,,,,,,,,,,,,
-5.0583,50.1369,,,,,WPT033,WPT033,WPT033,,,,,,,,,,,,
-5.0595,50.1352,,,,,WPT034,WPT034,WPT034,,,,,,,,,,,,
-5.0608,50.1336,,,,,WPT035,WPT035,WPT035,,,,,,,,,,,,
-5.0633,50.1327,,,,,WPT036,WPT036,WPT036,,,,,,,,,,,,
-5.0659,50.1317,,,,,WPT037,WPT037,WPT037,,,,,,,,,,,,
-5.0686,50.1307,,,,,WPT038,WPT038,WPT038,,,,,,,,,,,,
-5.0711,50.1296,,,,,WPT039,WPT039,WPT039,,,,,,,,,,,,
-5.0737,50.1288,,,,,WPT040,WPT040,WPT040,,,,,,,,,,,,
-5.0765,50.128,,,,,WPT041,WPT041,WPT041,,,,,,,,,,,,
-5.0792,50.127,,,,,WPT042,WPT042,WPT042,,,,,,,,,,,,
-5.0816,50.1258,,,,,WPT043,WPT043,WPT043,,,,,,,,,,,,
-5.083,50.1241,,,,,WPT044,WPT044,WPT044,,,,,,,,,,,,
-5.0826,50.1231,,,,,WPT045,WPT045,WPT045,,,,,,,,,,,,
-5.0828,50.1213,,,,,WPT046,WPT046,WPT046,,,,,,,,,,,,
-5.0825,50.1195,,,,,WPT047,WPT047,WPT047,,,,,,,,,,,,
-5.082,50.1178,,,,,WPT048,WPT048,WPT048,,,,,,,,,,,,
-5.0817,50.116,,,,,WPT049,WPT049,WPT049,,,,,,,,,,,,
-5.0815,50.1141,,,,,WPT050,WPT050,WPT050,,,,,,,,,,,,
-5.0809,50.1124,,,,,WPT051,WPT051,WPT051,,,,,,,,,,,,
-5.0796,50.1109,,,,,WPT052,WPT052,WPT052,,,,,,,,,,,,
-5.0787,50.1092,,,,,WPT053,WPT053,WPT053,,,,,,,,,,,,
-5.0785,50.1074,,,,,WPT054,WPT054,WPT054,,,,,,,,,,,,
-5.0785,50.1056,,,,,WPT055,WPT055,WPT055,,,,,,,,,,,,
-5.0791,50.1038,,,,,WPT056,WPT056,WPT056,,,,,,,,,,,,
-5.0793,50.102,,,,,WPT057,WPT057,WPT057,,,,,,,,,,,,
-5.0791,50.1002,,,,,WPT058,WPT058,WPT058,,,,,,,,,,,,
-5.0784,50.0984,,,,,WPT059,WPT059,WPT059,,,,,,,,,,,,
-5.0779,50.0967,,,,,WPT060,WPT060,WPT060,,,,,,,,,,,,
-5.0756,50.0964,,,,,WPT061,WPT061,WPT061,,,,,,,,,,,,
-5.0753,50.0945,,,,,WPT062,WPT062,WPT062,,,,,,,,,,,,
-5.0749,50.0928,,,,,WPT063,WPT063,WPT063,,,,,,,,,,,,
-5.0725,50.0926,,,,,WPT064,WPT064,WPT064,,,,,,,,,,,,
-5.0706,50.0924,,,,,WPT065,WPT065,WPT065,,,,,,,,,,,,
